Date,Value
1 January,0
2 January,0
3 January,0
4 January,0
5 January,0
6 January,0
7 January,0
8 January,0
9 January,0
10 January,1
11 January,1
12 January,0
13 January,0
14 January,0
15 January,0
16 January,0
17 January,0
18 January,1
19 January,1
20 January,0
21 January,1
22 January,0
23 January,0
24 January,1
25 January,0
26 January,0
27 January,0
28 January,0
29 January,0
30 January,0
31 January,0
1 February,0
2 February,0
3 February,0
4 February,0
5 February,1
6 February,0
7 February,0
8 February,0
9 February,0
10 February,0
11 February,0
12 February,0
13 February,0
14 February,0
15 February,0
16 February,0
17 February,0
18 February,0
19 February,0
20 February,0
21 February,1
22 February,1
23 February,0
24 February,0
25 February,0
26 February,0
27 February,0
28 February,0
1 March,0
2 March,1
3 March,0
4 March,0
5 March,0
6 March,0
7 March,0
8 March,0
9 March,1
10 March,0
11 March,0
12 March,0
13 March,0
14 March,1
15 March,0
16 March,1
17 March,0
18 March,0
19 March,0
20 March,0
21 March,0
22 March,1
23 March,0
24 March,0
25 March,0
26 March,0
27 March,0
28 March,1
29 March,0
30 March,0
31 March,1
1 April,1
2 April,0
3 April,0
4 April,2
5 April,0
6 April,0
7 April,0
8 April,0
9 April,0
10 April,0
11 April,1
12 April,0
13 April,0
14 April,0
15 April,0
16 April,0
17 April,1
18 April,0
19 April,0
20 April,1
21 April,0
22 April,0
23 April,0
24 April,0
25 April,0
26 April,0
27 April,0
28 April,0
29 April,1
30 April,0
1 May,0
2 May,0
3 May,0
4 May,1
5 May,1
6 May,0
7 May,0
8 May,0
9 May,0
10 May,0
11 May,0
12 May,0
13 May,0
14 May,0
15 May,0
16 May,0
17 May,1
18 May,0
19 May,0
20 May,0
21 May,0
22 May,1
23 May,0
24 May,1
25 May,0
26 May,0
27 May,1
28 May,0
29 May,0
30 May,1
31 May,0
1 June,0
2 June,0
3 June,0
4 June,0
5 June,1
6 June,0
7 June,0
8 June,0
9 June,0
10 June,0
11 June,0
12 June,1
13 June,0
14 June,0
15 June,0
16 June,0
17 June,0
18 June,0
19 June,0
20 June,1
21 June,0
22 June,0
23 June,0
24 June,1
25 June,1
26 June,0
27 June,0
28 June,0
29 June,1
30 June,0
1 July,0
2 July,0
3 July,0
4 July,0
5 July,0
6 July,0
7 July,0
8 July,0
9 July,0
10 July,1
11 July,0
12 July,0
13 July,0
14 July,0
15 July,0
16 July,0
17 July,0
18 July,0
19 July,0
20 July,1
21 July,0
22 July,1
23 July,0
24 July,0
25 July,2
26 July,1
27 July,0
28 July,0
29 July,0
30 July,1
31 July,1
1 August,0
2 August,0
3 August,0
4 August,0
5 August,1
6 August,2
7 August,0
8 August,1
9 August,0
10 August,0
11 August,0
12 August,0
13 August,0
14 August,0
15 August,0
16 August,0
17 August,1
18 August,0
19 August,1
20 August,0
21 August,0
22 August,2
23 August,0
24 August,0
25 August,0
26 August,0
27 August,0
28 August,0
29 August,0
30 August,2
31 August,0
1 September,0
2 September,0
3 September,0
4 September,0
5 September,0
6 September,0
7 September,0
8 September,0
9 September,0
10 September,0
11 September,0
12 September,1
13 September,0
14 September,0
15 September,0
16 September,0
17 September,0
18 September,0
19 September,1
20 September,0
21 September,0
22 September,1
23 September,0
24 September,1
25 September,2
26 September,1
27 September,0
28 September,0
29 September,0
30 September,0
1 October,0
2 October,0
3 October,0
4 October,1
5 October,0
6 October,0
7 October,0
8 October,0
9 October,1
10 October,0
11 October,1
12 October,0
13 October,0
14 October,0
15 October,0
16 October,0
17 October,2
18 October,0
19 October,0
20 October,0
21 October,0
22 October,0
23 October,0
24 October,0
25 October,0
26 October,0
27 October,0
28 October,0
29 October,0
30 October,0
31 October,0
1 November,0
2 November,1
3 November,1
4 November,1
5 November,0
6 November,0
7 November,0
8 November,0
9 November,0
10 November,0
11 November,1
12 November,0
13 November,2
14 November,0
15 November,0
16 November,0
17 November,1
18 November,0
19 November,0
20 November,0
21 November,0
22 November,0
23 November,1
24 November,0
25 November,1
26 November,1
27 November,2
28 November,0
29 November,0
30 November,0
1 December,0
2 December,0
3 December,0
4 December,0
5 December,1
6 December,2
7 December,2
8 December,0
9 December,0
10 December,0
11 December,2
12 December,0
13 December,0
14 December,0
15 December,0
16 December,1
17 December,1
18 December,1
19 December,0
20 December,1
21 December,0
22 December,0
23 December,0
24 December,1
25 December,0
26 December,1
27 December,1
28 December,0
29 December,0
30 December,0
31 December,0
